Age,Accessibility,EdLevel,Employment,MentalHealth,MainBranch,YearsCode,PreviousSalary,ComputerSkills,Employed,Man,NonBinary,Woman,Asia,Australia,Europe,NorthAmerica,Others,South America
0,0,0,1,1,1,11,48644.0,20,1,1,0,0,0,0,1,0,0,0
0,0,3,1,0,1,17,54672.0,14,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,6,35676.0,15,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,18,75631.0,3,0,1,0,0,0,0,0,1,0,0
0,0,3,1,0,0,14,58373.0,9,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,4,25944.0,15,0,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,4,5585.0,13,0,1,0,0,1,0,0,0,0,0
0,1,1,1,1,1,15,58000.0,8,0,0,0,1,0,0,0,1,0,0
0,0,2,1,0,1,18,61616.0,15,0,1,0,0,0,0,1,0,0,0
1,0,4,1,0,0,20,59454.0,6,0,1,0,0,0,0,1,0,0,0
0,0,4,1,0,0,15,55224.0,7,0,1,0,0,0,0,1,0,0,0
0,0,3,1,1,1,11,68068.0,10,0,1,0,0,0,0,0,1,0,0
1,0,4,1,0,1,30,118908.0,9,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,1,18,40000.0,6,0,1,0,0,0,0,0,1,0,0
0,0,2,1,0,1,15,71850.0,12,1,1,0,0,0,0,0,1,0,0
1,0,2,1,0,1,21,66934.0,4,0,1,0,0,0,0,0,1,0,0
0,0,3,1,0,1,8,54216.0,8,0,1,0,0,0,0,1,0,0,0
0,0,2,0,0,1,12,64860.0,15,1,1,0,0,0,0,1,0,0,0
0,0,2,1,0,1,6,19860.0,10,0,1,0,0,0,0,0,0,0,1
0,1,1,1,1,1,6,54888.0,10,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,1,8,58373.0,17,0,0,1,0,0,0,1,0,0,0
1,0,3,1,0,1,27,56616.0,16,0,1,0,0,0,0,0,0,1,0
0,0,4,1,1,0,13,45401.0,17,1,1,0,0,0,0,1,0,0,0
0,0,3,0,0,1,2,48104.0,2,0,1,0,0,0,0,1,0,0,0
1,0,2,0,0,1,24,84312.0,8,0,1,0,0,0,0,1,0,0,0
1,0,3,1,0,1,25,55582.0,7,0,1,0,0,0,0,1,0,0,0
1,0,1,1,0,1,30,60752.0,14,1,1,0,0,0,0,1,0,0,0
